"Name","Live Bytes","Live Objects"
"org.apache.catalina.connector.CoyoteReader","168 B (0%)","3 (0%)"
"java.math.BigInteger[][]","168 B (0%)","1 (0%)"
"org.springframework.cglib.proxy.CallbackInfo","168 B (0%)","7 (0%)"
"java.lang.System$Logger$Level","168 B (0%)","7 (0%)"
"org.springframework.boot.logging.LogLevel","168 B (0%)","7 (0%)"
"sun.management.counter.Units","168 B (0%)","7 (0%)"
"org.hibernate.boot.SchemaAutoTooling","168 B (0%)","7 (0%)"
"org.h2.engine.Session$State","168 B (0%)","7 (0%)"
"com.fasterxml.jackson.annotation.PropertyAccessor","168 B (0%)","7 (0%)"
"net.bytebuddy.implementation.bytecode.constant.IntegerConstant","168 B (0%)","7 (0%)"
"org.hibernate.jpa.event.spi.CallbackType","168 B (0%)","7 (0%)"
"java.time.ZoneOffset","168 B (0%)","7 (0%)"
"org.hibernate.hql.internal.ast.tree.DotNode$DereferenceType","168 B (0%)","7 (0%)"
"org.springframework.data.jpa.repository.query.SimpleJpaQuery","168 B (0%)","3 (0%)"
"java.time.DayOfWeek","168 B (0%)","7 (0%)"
"org.h2.mvstore.db.MVTable$TraceLockEvent","168 B (0%)","7 (0%)"
"org.apache.coyote.http11.Http11OutputBuffer","168 B (0%)","3 (0%)"
"net.bytebuddy.description.type.TypeList$Generic$ForLoadedTypes","168 B (0%)","7 (0%)"
"org.springframework.core.io.FileSystemResource","168 B (0%)","7 (0%)"
"org.springframework.transaction.annotation.Propagation","168 B (0%)","7 (0%)"
"ch.qos.logback.classic.Level","168 B (0%)","7 (0%)"
"java.util.regex.Pattern$Dollar","168 B (0%)","7 (0%)"
"org.hibernate.annotations.common.reflection.java.JavaReflectionManager$TypeKey","168 B (0%)","7 (0%)"
"javax.persistence.metamodel.Attribute$PersistentAttributeType","168 B (0%)","7 (0%)"
"sun.rmi.transport.Target","168 B (0%)","3 (0%)"
"org.springframework.asm.Type[]","168 B (0%)","6 (0%)"
"com.fasterxml.jackson.annotation.JsonInclude$Include","168 B (0%)","7 (0%)"
"org.apache.tomcat.util.net.SocketEvent","168 B (0%)","7 (0%)"
"org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyAdviceChain","168 B (0%)","7 (0%)"
"org.apache.catalina.core.ApplicationFilterConfig[]","168 B (0%)","3 (0%)"
"org.springframework.core.MethodParameter[]","168 B (0%)","8 (0%)"
"org.apache.catalina.core.StandardHost","168 B (0%)","1 (0%)"
"org.springframework.web.servlet.view.InternalResourceView","168 B (0%)","3 (0%)"
"org.springframework.data.repository.query.ResultProcessor","160 B (0%)","5 (0%)"
"org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$LifecycleMetadata","160 B (0%)","4 (0%)"
"org.attoparser.config.ParseConfiguration","160 B (0%)","4 (0%)"
"com.zaxxer.hikari.pool.HikariPool","160 B (0%)","1 (0%)"
"org.hibernate.event.service.internal.EventListenerGroupImpl[]","160 B (0%)","1 (0%)"
"java.time.temporal.ChronoUnit[]","160 B (0%)","2 (0%)"
"org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter","160 B (0%)","1 (0%)"
"org.thymeleaf.util.ProcessorConfigurationUtils$TextProcessorWrapper","160 B (0%)","5 (0%)"
"sun.util.locale.provider.LocaleResources","160 B (0%)","5 (0%)"
"org.h2.engine.IsolationLevel","160 B (0%)","5 (0%)"
"org.springframework.boot.context.properties.bind.Bindable","160 B (0%)","5 (0%)"
"sun.nio.ch.DummySocketImpl","160 B (0%)","5 (0%)"
"com.fasterxml.jackson.databind.type.TypeFactory","160 B (0%)","5 (0%)"
"org.thymeleaf.util.ProcessorConfigurationUtils$TemplateBoundariesProcessorWrapper","160 B (0%)","5 (0%)"
"org.hibernate.loader.entity.plan.EntityLoader","160 B (0%)","4 (0%)"
"org.springframework.core.convert.support.CollectionToArrayConverter","160 B (0%)","10 (0%)"
"com.sun.proxy.jdk.proxy1.$Proxy15","160 B (0%)","10 (0%)"
"java.util.concurrent.LinkedBlockingDeque","160 B (0%)","4 (0%)"
"org.apache.catalina.core.ApplicationFilterConfig","160 B (0%)","5 (0%)"
"org.hibernate.loader.plan.exec.internal.AliasResolutionContextImpl","160 B (0%)","4 (0%)"
"java.util.logging.Level[]","160 B (0%)","3 (0%)"
"org.springframework.http.converter.ResourceHttpMessageConverter","160 B (0%)","5 (0%)"
"java.util.Vector","160 B (0%)","5 (0%)"
"java.util.regex.CharPredicates$$Lambda$812.0x00000008010f3108","160 B (0%)","10 (0%)"
"org.springframework.http.converter.json.MappingJackson2HttpMessageConverter","160 B (0%)","4 (0%)"
"net.bytebuddy.implementation.bytecode.member.MethodVariableAccess","160 B (0%)","5 (0%)"
"org.springframework.core.convert.support.CollectionToStringConverter","160 B (0%)","10 (0%)"
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$TableInfo","160 B (0%)","5 (0%)"
"org.h2.mvstore.type.ObjectDataType","160 B (0%)","10 (0%)"
"org.hibernate.loader.plan.build.internal.spaces.EntityQuerySpaceImpl","160 B (0%)","4 (0%)"
"javax.xml.catalog.CatalogFeatures$Feature","160 B (0%)","4 (0%)"
"net.bytebuddy.implementation.bind.annotation.TargetMethodAnnotationDrivenBinder$DelegationProcessor$Handler$Bound","160 B (0%)","5 (0%)"
"float[]","160 B (0%)","4 (0%)"
"sun.util.locale.provider.LocaleProviderAdapter$Type","160 B (0%)","5 (0%)"
"java.lang.invoke.VarHandle$AccessType","160 B (0%)","5 (0%)"
"jdk.xml.internal.JdkXmlFeatures$XmlFeature","160 B (0%)","4 (0%)"
"com.sun.proxy.$Proxy34","160 B (0%)","10 (0%)"
"java.net.HostPortrange","160 B (0%)","5 (0%)"
"org.thymeleaf.standard.processor.StandardObjectTagProcessor","160 B (0%)","4 (0%)"
"org.hibernate.engine.spi.Status[]","160 B (0%)","4 (0%)"
"org.hibernate.validator.internal.metadata.core.AnnotationProcessingOptionsImpl","160 B (0%)","4 (0%)"
"org.hibernate.query.criteria.internal.expression.ParameterExpressionImpl","160 B (0%)","4 (0%)"
"org.springframework.web.bind.annotation.RequestMethod[]","160 B (0%)","5 (0%)"
"org.hibernate.hql.internal.ast.tree.QueryNode","160 B (0%)","2 (0%)"
"com.fasterxml.jackson.core.Base64Variant","160 B (0%)","4 (0%)"
"java.lang.invoke.MethodHandles$Lookup","160 B (0%)","5 (0%)"
"org.apache.catalina.core.StandardWrapperValve","160 B (0%)","2 (0%)"
"java.util.Formatter$Flags","160 B (0%)","10 (0%)"
"jdk.internal.logger.LazyLoggers$JdkLazyLogger","160 B (0%)","10 (0%)"
"javax.management.StandardEmitterMBean","160 B (0%)","5 (0%)"
"org.springframework.boot.web.embedded.tomcat.TomcatEmbeddedWebappClassLoader","152 B (0%)","1 (0%)"
"org.graalvm.visualvm.lib.jfluid.global.ProfilingSessionStatus","152 B (0%)","1 (0%)"
"com.fasterxml.jackson.databind.deser.Deserializers[]","152 B (0%)","7 (0%)"
"org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext","152 B (0%)","1 (0%)"
"org.apache.catalina.session.StandardManager","152 B (0%)","1 (0%)"
"net.bytebuddy.description.type.TypeDefinition$Sort","144 B (0%)","6 (0%)"
"org.hibernate.engine.spi.CascadeStyle[]","144 B (0%)","4 (0%)"
"org.unbescape.html.HtmlEscapeType","144 B (0%)","6 (0%)"
"org.hibernate.internal.EntityManagerMessageLogger_$logger","144 B (0%)","9 (0%)"
"org.hibernate.validator.resourceloading.PlatformResourceBundleLocator","144 B (0%)","6 (0%)"
"org.springframework.boot.origin.TextResourceOrigin$Location","144 B (0%)","6 (0%)"
"org.hibernate.engine.spi.Status","144 B (0%)","6 (0%)"
"com.fasterxml.jackson.datatype.jsr310.deser.InstantDeserializer","144 B (0%)","3 (0%)"
"org.springframework.data.jpa.repository.query.StringQuery$ParameterBinding","144 B (0%)","6 (0%)"
"org.springframework.boot.web.embedded.tomcat.TomcatServletWebServerFactory","144 B (0%)","1 (0%)"
"javax.validation.executable.ExecutableType","144 B (0%)","6 (0%)"
"org.springframework.data.jpa.repository.support.JpaRepositoryFactory","144 B (0%)","2 (0%)"
"org.springframework.core.type.filter.AnnotationTypeFilter","144 B (0%)","6 (0%)"
"org.springframework.core.$Proxy23","144 B (0%)","9 (0%)"
"org.apache.logging.log4j.MarkerManager$Log4jMarker","144 B (0%)","6 (0%)"
"java.time.format.DateTimeFormatterBuilder$LocalizedPrinterParser","144 B (0%)","6 (0%)"
"org.apache.coyote.http11.Http11InputBuffer$HeaderParsePosition","144 B (0%)","6 (0%)"
"org.springframework.aop.Advisor[]","144 B (0%)","5 (0%)"
"org.hibernate.internal.FastSessionServices","144 B (0%)","1 (0%)"
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap","144 B (0%)","3 (0%)"
"boolean[][]","144 B (0%)","4 (0%)"
"org.springframework.web.servlet.view.RedirectView","144 B (0%)","2 (0%)"
"org.apache.tomcat.util.http.MimeHeaders","144 B (0%)","6 (0%)"
"org.springframework.transaction.interceptor.TransactionInterceptor","144 B (0%)","3 (0%)"
"org.springframework.core.SerializableTypeWrapper$TypeProxyInvocationHandler","144 B (0%)","9 (0%)"
"org.apache.coyote.http11.Http11NioProtocol","144 B (0%)","1 (0%)"
"org.hibernate.type.EntityType[]","144 B (0%)","6 (0%)"
"java.time.format.DateTimeFormatterBuilder$OffsetIdPrinterParser","144 B (0%)","6 (0%)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType","144 B (0%)","6 (0%)"
"org.hibernate.validator.internal.metadata.aggregated.BeanMetaDataImpl","144 B (0%)","2 (0%)"
"java.rmi.server.Operation","144 B (0%)","9 (0%)"
"org.apache.catalina.core.StandardServer","144 B (0%)","1 (0%)"
"org.springframework.web.context.request.RequestScope","144 B (0%)","9 (0%)"
"com.fasterxml.jackson.databind.cfg.SerializerFactoryConfig","144 B (0%)","6 (0%)"
"org.jboss.logging.Logger$Level","144 B (0%)","6 (0%)"
"java.time.temporal.JulianFields$Field","144 B (0%)","3 (0%)"
"org.hibernate.loader.EntityAliases[]","144 B (0%)","6 (0%)"
"java.util.regex.Pattern$GroupCurly","144 B (0%)","3 (0%)"
"com.fasterxml.jackson.core.util.DefaultIndenter","144 B (0%)","6 (0%)"
"org.springframework.context.event.AbstractApplicationEventMulticaster$ListenerCacheKey","144 B (0%)","6 (0%)"
"java.lang.invoke.VarHandle$AccessMode[]","144 B (0%)","1 (0%)"
"com.fasterxml.jackson.core.JsonParser$Feature[]","144 B (0%)","2 (0%)"
"org.hibernate.validator.internal.engine.valueextraction.ArrayElement","144 B (0%)","9 (0%)"
"java.util.regex.Pattern$StartS","144 B (0%)","6 (0%)"
"org.springframework.boot.origin.OriginTrackedValue$OriginTrackedCharSequence","144 B (0%)","6 (0%)"
"java.lang.Thread$State","144 B (0%)","6 (0%)"
"net.bytebuddy.implementation.bytecode.constant.DefaultValue","144 B (0%)","6 (0%)"
"com.sun.org.apache.xalan.internal.utils.XMLSecurityPropertyManager","144 B (0%)","6 (0%)"
"com.fasterxml.jackson.annotation.JsonAutoDetect$Visibility","144 B (0%)","6 (0%)"
"java.math.BigDecimal[]","144 B (0%)","2 (0%)"
"com.fasterxml.jackson.databind.deser.KeyDeserializers[]","144 B (0%)","6 (0%)"
"org.springframework.core.convert.support.GenericConversionService$Converters","144 B (0%)","6 (0%)"
"jdk.internal.perf.PerfCounter","144 B (0%)","6 (0%)"
"java.lang.NamedPackage","144 B (0%)","6 (0%)"
"org.springframework.boot.context.properties.source.SpringIterableConfigurationPropertySource$CacheKey","144 B (0%)","9 (0%)"
"org.springframework.boot.origin.TextResourceOrigin","144 B (0%)","6 (0%)"
"jdk.xml.internal.JdkXmlFeatures","144 B (0%)","6 (0%)"
"org.hibernate.tuple.entity.PojoEntityTuplizer","144 B (0%)","2 (0%)"
"com.fasterxml.jackson.core.JsonParser$NumberType","144 B (0%)","6 (0%)"
"java.lang.module.ModuleDescriptor$Requires$Modifier","144 B (0%)","6 (0%)"
"sun.nio.cs.StreamEncoder","144 B (0%)","3 (0%)"
"org.h2.expression.aggregate.AggregateType[]","136 B (0%)","1 (0%)"
"com.fasterxml.jackson.databind.deser.ValueInstantiators[]","136 B (0%)","6 (0%)"
"java.time.temporal.ChronoField[]","136 B (0%)","1 (0%)"
"java.util.stream.FindOps$FindOp","128 B (0%)","4 (0%)"
"org.springframework.boot.jdbc.EmbeddedDatabaseConnection","128 B (0%)","4 (0%)"
"org.springframework.data.jpa.repository.query.ParameterMetadataProvider$ParameterMetadata","128 B (0%)","4 (0%)"
"org.springframework.web.method.annotation.RequestParamMethodArgumentResolver","128 B (0%)","4 (0%)"
"org.h2.constraint.ConstraintUnique","128 B (0%)","2 (0%)"
"org.hibernate.hql.internal.ast.QueryTranslatorImpl","128 B (0%)","2 (0%)"
"org.hibernate.hql.internal.ast.tree.ParameterNode","128 B (0%)","2 (0%)"
"org.springframework.http.converter.StringHttpMessageConverter","128 B (0%)","4 (0%)"
"org.hibernate.loader.plan.build.internal.LoadPlanImpl","128 B (0%)","4 (0%)"
"org.hibernate.resource.jdbc.spi.PhysicalConnectionHandlingMode","128 B (0%)","4 (0%)"
"org.hibernate.cfg.beanvalidation.GroupsPerOperation$Operation","128 B (0%)","4 (0%)"
"org.springframework.expression.spel.ast.CompoundExpression","128 B (0%)","4 (0%)"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ExclusiveNode","128 B (0%)","4 (0%)"
"org.hibernate.loader.plan.exec.query.internal.QueryBuildingParametersImpl","128 B (0%)","4 (0%)"
"java.text.SimpleDateFormat[]","128 B (0%)","4 (0%)"
"org.springframework.cglib.proxy.MethodProxy$CreateInfo","128 B (0%)","4 (0%)"
"org.hibernate.engine.jdbc.Size$LobMultiplier","128 B (0%)","4 (0%)"
"org.hibernate.LockOptions","128 B (0%)","4 (0%)"
"org.attoparser.config.ParseConfiguration$PrologParseConfiguration","128 B (0%)","4 (0%)"
"com.fasterxml.jackson.core.io.SerializedString","128 B (0%)","4 (0%)"
"org.hibernate.loader.plan.build.internal.spaces.QuerySpacesImpl","128 B (0%)","4 (0%)"
"java.util.concurrent.SynchronousQueue","128 B (0%)","4 (0%)"
"org.graalvm.visualvm.lib.jfluid.server.ThreadInfo[]","128 B (0%)","2 (0%)"
"org.springframework.data.jpa.repository.query.PartTreeJpaQuery","128 B (0%)","2 (0%)"
"org.h2.engine.User","128 B (0%)","2 (0%)"
"org.hibernate.loader.plan.build.internal.returns.EntityReturnImpl","128 B (0%)","4 (0%)"
"com.fasterxml.classmate.util.LRUTypeCache$CacheMap","128 B (0%)","2 (0%)"
"org.springframework.cglib.proxy.Enhancer$EnhancerFactoryData","128 B (0%)","4 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$ArrayMapping","128 B (0%)","4 (0%)"
"org.hibernate.loader.plan.exec.process.internal.ResultSetProcessorImpl","128 B (0%)","4 (0%)"
"org.springframework.beans.propertyeditors.CustomCollectionEditor","128 B (0%)","4 (0%)"
"org.springframework.web.servlet.mvc.condition.HeadersRequestCondition","128 B (0%)","8 (0%)"
"java.time.Month[]","128 B (0%)","2 (0%)"
"org.apache.coyote.ErrorState","128 B (0%)","4 (0%)"
"java.util.concurrent.Semaphore","128 B (0%)","8 (0%)"
"sun.security.provider.SecureRandom","128 B (0%)","4 (0%)"
"org.hibernate.metamodel.model.domain.internal.EntityTypeImpl","128 B (0%)","2 (0%)"
"org.springframework.cglib.core.WeakCacheKey","128 B (0%)","4 (0%)"
"org.apache.catalina.core.StandardEngine","128 B (0%)","1 (0%)"
"org.hibernate.loader.plan.exec.internal.EntityLoadQueryDetails$EntityLoaderReaderCollectorImpl","128 B (0%)","4 (0%)"
"com.sun.proxy.$Proxy10","128 B (0%)","8 (0%)"
"org.springframework.security.web.access.expression.ExpressionBasedFilterInvocationSecurityMetadataSource$RequestVariablesExtractorEvaluationContextPostProcessor","128 B (0%)","8 (0%)"
"org.springframework.cglib.proxy.MethodProxy$FastClassInfo","128 B (0%)","4 (0%)"
"org.thymeleaf.templatemode.TemplateMode[]","128 B (0%)","2 (0%)"
"java.security.MessageDigest$Delegate$CloneableDelegate","128 B (0%)","4 (0%)"
"org.apache.tomcat.util.net.NioChannel","128 B (0%)","4 (0%)"
"net.bytebuddy.matcher.NameMatcher","128 B (0%)","8 (0%)"
"org.hibernate.query.criteria.internal.CriteriaQueryImpl","128 B (0%)","4 (0%)"
"org.springframework.util.PropertyPlaceholderHelper","128 B (0%)","4 (0%)"
"org.apache.tomcat.util.collections.SynchronizedStack","128 B (0%)","4 (0%)"
"jdk.internal.loader.URLClassPath$FileLoader$1","128 B (0%)","4 (0%)"
"org.springframework.web.servlet.view.AbstractCachingViewResolver$2","128 B (0%)","2 (0%)"
"org.hibernate.hql.internal.ast.tree.BinaryLogicOperatorNode","128 B (0%)","2 (0%)"
"org.springframework.data.repository.core.support.DefaultRepositoryMetadata","128 B (0%)","4 (0%)"
"org.thymeleaf.cache.StandardCache","128 B (0%)","2 (0%)"
"org.hibernate.internal.SessionFactoryImpl","128 B (0%)","1 (0%)"
"org.hibernate.loader.plan.exec.internal.EntityLoadQueryDetails$EntityLoaderRowReader","128 B (0%)","4 (0%)"
"org.hibernate.validator.internal.metadata.raw.ConstrainedElement$ConstrainedElementKind","120 B (0%)","5 (0%)"
"org.apache.coyote.AsyncStateMachine","120 B (0%)","3 (0%)"
"org.springframework.core.convert.support.ArrayToArrayConverter","120 B (0%)","5 (0%)"
"org.springframework.data.jpa.repository.query.QueryParameterSetter$NamedOrIndexedQueryParameterSetter","120 B (0%)","5 (0%)"
"org.springframework.boot.ansi.AnsiStyle","120 B (0%)","5 (0%)"
"org.apache.coyote.http11.filters.IdentityInputFilter","120 B (0%)","3 (0%)"
"org.hibernate.event.service.internal.PostCommitEventListenerGroupImpl","120 B (0%)","3 (0%)"
"org.apache.tomcat.util.buf.Utf8Decoder","120 B (0%)","3 (0%)"
"org.springframework.web.servlet.DispatcherServlet","120 B (0%)","1 (0%)"
"org.thymeleaf.standard.processor.AbstractStandardMultipleAttributeModifierTagProcessor$ModificationType","120 B (0%)","5 (0%)"
"org.thymeleaf.standard.processor.StandardInlineEnablementTemplateBoundariesProcessor","120 B (0%)","5 (0%)"
"java.time.format.SignStyle","120 B (0%)","5 (0%)"
"org.hibernate.CacheMode","120 B (0%)","5 (0%)"
"org.apache.catalina.connector.CoyoteWriter","120 B (0%)","3 (0%)"
"com.sun.org.apache.xalan.internal.utils.FeaturePropertyBase$State","120 B (0%)","5 (0%)"
"javax.servlet.http.MappingMatch","120 B (0%)","5 (0%)"
"org.hibernate.boot.jaxb.internal.stax.LocalXmlResourceResolver$NamespaceSchemaMapping","120 B (0%)","5 (0%)"
"org.thymeleaf.engine.AttributeNames$AttributeNamesRepository","120 B (0%)","3 (0%)"
"javax.servlet.DispatcherType","120 B (0%)","5 (0%)"
"org.springframework.data.repository.query.ResultProcessor$ProjectingConverter","120 B (0%)","5 (0%)"
"java.io.ByteArrayOutputStream","120 B (0%)","5 (0%)"
"org.apache.tomcat.util.threads.InlineExecutorService","120 B (0%)","5 (0%)"
"org.springframework.data.jpa.repository.query.JpaQueryMethod$$Lambda$805.0x0000000801146940","120 B (0%)","5 (0%)"
"net.bytebuddy.description.method.ParameterDescription$ForLoadedParameter$OfMethod","120 B (0%)","5 (0%)"
"org.hibernate.boot.jaxb.internal.stax.LocalXmlResourceResolver$DtdMapping","120 B (0%)","5 (0%)"
"org.hibernate.tuple.PropertyFactory$NonIdentifierAttributeNature","120 B (0%)","5 (0%)"
"org.springframework.security.web.DefaultRedirectStrategy","120 B (0%)","5 (0%)"
"org.springframework.data.jpa.repository.query.JpaQueryMethod$$Lambda$807.0x0000000801146d90","120 B (0%)","5 (0%)"
"org.h2.table.TableType","120 B (0%)","5 (0%)"
"com.sun.org.apache.xalan.internal.utils.XMLSecurityManager$State","120 B (0%)","5 (0%)"
"org.hibernate.sql.JoinType","120 B (0%)","5 (0%)"
"jdk.net.ExtendedSocketOptions$ExtSocketOption","120 B (0%)","5 (0%)"
"org.springframework.security.web.util.matcher.AntPathRequestMatcher$SpringAntMatcher","120 B (0%)","5 (0%)"
"javax.persistence.SharedCacheMode","120 B (0%)","5 (0%)"
"org.springframework.http.converter.xml.Jaxb2RootElementHttpMessageConverter","120 B (0%)","3 (0%)"
"org.thymeleaf.engine.HTMLElementType","120 B (0%)","5 (0%)"
"org.apache.coyote.http11.filters.ChunkedOutputFilter","120 B (0%)","3 (0%)"
"org.springframework.security.web.util.matcher.NegatedRequestMatcher","120 B (0%)","5 (0%)"
"java.lang.invoke.LambdaForm$BasicType[]","120 B (0%)","3 (0%)"
"java.lang.ref.Finalizer","120 B (0%)","3 (0%)"
"com.fasterxml.jackson.databind.introspect.SimpleMixInResolver","120 B (0%)","5 (0%)"
"org.thymeleaf.standard.processor.StandardInlineTextualTagProcessor","120 B (0%)","3 (0%)"
"org.springframework.transaction.annotation.Isolation","120 B (0%)","5 (0%)"
"java.util.regex.Pattern$$Lambda$650.0x00000008010a3050","120 B (0%)","5 (0%)"
"com.jayway.jsonpath.Option","120 B (0%)","5 (0%)"
"org.thymeleaf.engine.ElementNames$ElementNamesRepository","120 B (0%)","3 (0%)"
"org.thymeleaf.standard.expression.VariableExpression","120 B (0%)","5 (0%)"
"org.springframework.data.jpa.repository.query.ParameterBinder","120 B (0%)","5 (0%)"
"org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessor","120 B (0%)","3 (0%)"
"javax.management.NotificationBroadcasterSupport","120 B (0%)","5 (0%)"
"java.lang.module.Configuration","120 B (0%)","3 (0%)"
"org.springframework.context.annotation.FilterType","120 B (0%)","5 (0%)"
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync$HoldCounter","120 B (0%)","5 (0%)"
"org.springframework.aop.framework.JdkDynamicAopProxy","120 B (0%)","5 (0%)"
"org.springframework.security.config.annotation.AbstractConfiguredSecurityBuilder$BuildState","120 B (0%)","5 (0%)"
"com.fasterxml.jackson.databind.ser.SerializerCache","120 B (0%)","5 (0%)"
"sun.rmi.transport.WeakRef","120 B (0%)","3 (0%)"
"com.fasterxml.jackson.databind.deser.DeserializerCache","120 B (0%)","5 (0%)"
"java.lang.reflect.ProxyGenerator$ProxyMethod","120 B (0%)","3 (0%)"
"net.bytebuddy.description.modifier.TypeManifestation","120 B (0%)","5 (0%)"
"org.springframework.core.annotation.MergedAnnotations$SearchStrategy","120 B (0%)","5 (0%)"
"java.util.stream.StreamOpFlag$Type","120 B (0%)","5 (0%)"
"org.unbescape.html.HtmlEscapeLevel","120 B (0%)","5 (0%)"
"org.hibernate.annotations.CacheConcurrencyStrategy","120 B (0%)","5 (0%)"
"org.apache.tomcat.util.buf.UDecoder$DecodeException","120 B (0%)","3 (0%)"
"org.springframework.http.HttpMethod[]","120 B (0%)","3 (0%)"
"org.springframework.boot.web.servlet.DispatcherType","120 B (0%)","5 (0%)"
"com.fasterxml.jackson.annotation.Nulls","120 B (0%)","5 (0%)"
"org.h2.expression.Alias","120 B (0%)","5 (0%)"
"net.bytebuddy.description.annotation.AnnotationDescription$ForLoadedAnnotation","120 B (0%)","5 (0%)"
"org.springframework.util.LinkedCaseInsensitiveMap$EntrySet","120 B (0%)","5 (0%)"
"jdk.internal.math.FloatingDecimal$PreparedASCIIToBinaryBuffer","120 B (0%)","5 (0%)"
"org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor","120 B (0%)","3 (0%)"
"org.hibernate.dialect.Database[]","120 B (0%)","1 (0%)"
"org.springframework.http.HttpStatus$Series","120 B (0%)","5 (0%)"
"org.thymeleaf.standard.processor.StandardInliningTextProcessor","120 B (0%)","5 (0%)"
"ch.qos.logback.core.subst.Token$Type","120 B (0%)","5 (0%)"
"ch.qos.logback.core.pattern.parser.TokenStream$TokenizerState","120 B (0%)","5 (0%)"
"jdk.xml.internal.JdkXmlFeatures$State","120 B (0%)","5 (0%)"
"org.springframework.data.projection.SpelAwareProxyProjectionFactory","120 B (0%)","3 (0%)"
"org.springframework.data.repository.query.QueryMethod$$Lambda$799.0x00000008011448b0","120 B (0%)","5 (0%)"
"com.fasterxml.jackson.databind.module.SimpleDeserializers","120 B (0%)","5 (0%)"
"java.util.TreeSet","112 B (0%)","7 (0%)"
"org.springframework.boot.autoconfigure.cache.CacheType[]","112 B (0%)","2 (0%)"
"jdk.internal.loader.ClassLoaders$AppClassLoader","112 B (0%)","1 (0%)"
"org.graalvm.visualvm.lib.jfluid.server.Monitors$ThreadDataTable","112 B (0%)","1 (0%)"
"java.util.concurrent.ConcurrentHashMap$ValueIterator","112 B (0%)","2 (0%)"
"org.springframework.web.servlet.mvc.condition.ParamsRequestCondition","112 B (0%)","7 (0%)"
"org.springframework.expression.spel.ast.SpelNodeImpl[]","112 B (0%)","5 (0%)"
"com.fasterxml.classmate.types.ResolvedObjectType","112 B (0%)","2 (0%)"
"java.time.LocalTime[]","112 B (0%)","1 (0%)"
"sun.security.jca.ProviderList$ServiceList","112 B (0%)","2 (0%)"
"org.hibernate.hql.internal.ast.tree.SqlFragment","112 B (0%)","2 (0%)"
"org.thymeleaf.engine.DocType","112 B (0%)","2 (0%)"
"jdk.internal.loader.ClassLoaderValue","112 B (0%)","7 (0%)"
"org.apache.catalina.connector.Connector","112 B (0%)","1 (0%)"
"org.hibernate.validator.internal.engine.ValidatorFactoryImpl","112 B (0%)","2 (0%)"
"com.fasterxml.jackson.core.JsonGenerator$Feature[]","112 B (0%)","2 (0%)"
"org.springframework.data.jpa.repository.query.DefaultJpaEntityMetadata","112 B (0%)","7 (0%)"
"java.nio.DirectIntBufferRU","112 B (0%)","2 (0%)"
"org.springframework.security.access.SecurityConfig","112 B (0%)","7 (0%)"
"org.hibernate.hql.internal.ast.HqlParser","112 B (0%)","2 (0%)"
"org.hibernate.hql.internal.ast.HqlLexer","112 B (0%)","2 (0%)"
"org.hibernate.internal.SessionFactoryImpl$SessionBuilderImpl","112 B (0%)","2 (0%)"
"org.springframework.core.env.PropertySourcesPropertyResolver","112 B (0%)","2 (0%)"
"com.sun.proxy.$Proxy58","112 B (0%)","7 (0%)"
"org.springframework.data.jpa.repository.query.QueryParameterSetter$QueryMetadataCache","112 B (0%)","7 (0%)"
"com.sun.proxy.$Proxy80","112 B (0%)","7 (0%)"
"org.springframework.data.util.ParameterizedTypeInformation","112 B (0%)","2 (0%)"
"org.hibernate.hql.internal.ast.tree.SqlNode","112 B (0%)","2 (0%)"
"org.springframework.web.servlet.mvc.condition.RequestConditionHolder","112 B (0%)","7 (0%)"
"org.springframework.boot.autoconfigure.web.ServerProperties$Tomcat","112 B (0%)","1 (0%)"
"java.util.stream.Collector$Characteristics[]","104 B (0%)","4 (0%)"
"com.fasterxml.classmate.members.RawMethod[]","104 B (0%)","2 (0%)"
"org.hibernate.FetchMode[]","104 B (0%)","3 (0%)"
"jdk.internal.loader.ClassLoaders$BootClassLoader","104 B (0%)","1 (0%)"
"sun.security.provider.Sun","104 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.jdbc.DataSourceProperties","104 B (0%)","1 (0%)"
"sun.security.jca.ProviderList$1","104 B (0%)","1 (0%)"
"org.springframework.web.servlet.view.InternalResourceViewResolver","104 B (0%)","1 (0%)"
"org.springframework.http.MediaType[]","104 B (0%)","4 (0%)"
"org.h2.command.dml.Insert","104 B (0%)","1 (0%)"
"sun.util.logging.PlatformLogger$Level[]","104 B (0%)","2 (0%)"
"jdk.internal.loader.ClassLoaders$PlatformClassLoader","104 B (0%)","1 (0%)"
"org.apache.tomcat.util.net.SocketProperties","104 B (0%)","1 (0%)"
